Aspect,Frequency
app,91
shipping,81
alibaba,67
price,47
supplier,21
customer service,19
seller,17
service,17
refund,17
order,16
site,10
payment,9
messages,9
quality,8
trade assurance,8
log,6
search,6
chat,6
notifications,6
advertising,5
