Aspect,Frequency
app,170
alibaba,167
service,152
price,87
delivery,70
shipping,69
quality,55
website,53
communication,49
product,33
seller,32
supplier,31
business,19
use,15
people,15
customer service,14
platform,14
company,13
design,13
experience,12
