Aspect,Frequency
alibaba,24
business,7
price,7
shipping,6
seller,4
whatsapp,3
western union,3
order,3
search,2
learning,2
service,2
web,2
payment,2
chinese,2
china,2
website,2
paypal,2
businesses,2
google,2
engines,2
